date,open,high,low,close,adjClose,volume
2026-08-11,104.05,104.85,103.40,104.60,104.60,64953565
2026-08-10,103.90,104.75,103.50,104.25,104.25,77669272
2026-08-07,103.80,104.00,102.05,102.85,102.85,64762811
2026-08-06,103.25,103.70,102.55,103.30,103.30,75072269
2026-08-05,103.75,104.75,102.90,103.80,103.80,162326921
2026-08-04,100.65,102.25,99.75,100.65,100.65,114567629
2026-08-03,102.00,102.70,101.00,102.00,102.00,162020882
2026-07-31,100.00,102.85,99.80,102.85,102.85,335230300
2026-07-30,93.40,96.00,92.00,93.50,93.50,277813661
2026-07-29,96.95,97.00,91.80,93.70,93.70,481594751
2026-07-28,98.35,98.35,96.90,97.15,97.15,403103877
2026-07-27,101.30,101.60,100.05,101.45,101.45,100975462
2026-07-24,102.55,103.05,101.30,101.70,101.70,94377095
2026-07-23,104.25,104.80,102.90,103.90,103.90,51221177
2026-07-22,104.50,104.80,103.30,103.85,103.85,103568792
2026-07-21,100.00,102.50,99.85,102.50,102.50,91004977
2026-07-20,100.20,100.60,98.30,99.20,98.60,335645366
2026-07-17,102.90,103.05,100.00,100.15,99.54,443467989
2026-07-16,105.35,106.75,104.55,106.40,105.76,68042614
2026-07-15,105.30,106.45,104.65,106.30,105.66,106147811
2026-07-14,105.50,105.50,102.25,104.40,103.77,225466504
2026-07-13,107.00,107.55,105.70,106.00,105.36,65558453
2026-07-10,105.80,105.80,105.80,105.80,105.16,
2026-07-09,106.35,107.00,105.45,105.80,105.16,51733962
2026-07-08,106.40,106.60,105.05,106.05,105.41,86877553
2026-07-07,108.55,109.05,105.85,106.20,105.56,111060971
2026-07-06,109.05,109.60,107.70,108.25,107.60,70136815
2026-07-03,106.15,108.80,106.10,108.35,107.69,76733905
2026-07-02,107.20,108.95,106.90,108.80,108.14,67727796
2026-07-01,109.80,109.95,108.60,109.35,108.69,72216950
2026-06-30,106.85,108.25,106.75,107.80,107.15,103816325
2026-06-29,103.35,105.35,103.30,104.45,103.82,101519378
2026-06-26,105.40,105.85,102.80,103.10,102.48,251693794
2026-06-25,108.00,108.05,106.35,107.20,106.55,89454929
2026-06-24,108.00,108.10,106.15,107.15,106.50,208531754
2026-06-23,112.00,112.30,110.05,110.10,109.43,120564830
2026-06-22,109.45,111.20,109.45,111.15,110.48,110460961
2026-06-18,107.00,107.45,106.65,107.30,106.65,74587200
2026-06-17,105.00,106.00,104.50,106.00,105.36,75416209
2026-06-16,106.05,106.05,104.85,105.90,105.26,67088029
2026-06-15,105.10,105.50,104.30,105.25,104.61,95906242
2026-06-12,103.25,103.75,101.55,101.95,101.33,73401960
2026-06-11,100.00,100.55,97.60,99.85,99.25,248828975
2026-06-10,102.60,102.95,100.20,100.25,99.64,166445287
2026-06-09,102.10,103.60,101.35,103.50,102.87,89392847
