monthEndDate,adjClose
2018-01-31,37.22
2018-02-27,36.51
2018-03-30,36.50
2018-04-30,35.56
2018-05-31,35.72
2018-06-29,36.06
2018-07-31,37.77
2018-08-31,38.58
2018-09-28,38.96
2018-10-31,34.16
2018-11-30,34.52
2018-12-28,33.45
2019-01-30,34.28
2019-02-27,35.64
2019-03-29,36.57
2019-04-30,38.08
2019-05-31,35.98
2019-06-28,37.20
2019-07-31,38.46
2019-08-30,37.76
2019-09-27,38.97
2019-10-31,41.73
2019-11-29,42.40
2019-12-31,44.69
2020-01-31,42.94
2020-02-27,42.32
2020-03-31,36.30
2020-04-30,40.80
2020-05-29,40.21
2020-06-30,42.82
2020-07-31,49.88
2020-08-31,49.25
2020-09-30,49.41
2020-10-30,49.46
2020-11-30,54.50
2020-12-31,58.86
2021-01-29,62.97
2021-02-26,66.31
2021-03-31,66.23
2021-04-29,69.14
2021-05-31,67.56
2021-06-30,68.41
2021-07-30,67.30
2021-08-31,69.45
2021-09-30,67.52
2021-10-29,67.17
2021-11-30,68.34
2021-12-30,71.81
2022-01-26,71.41
2022-02-25,70.05
2022-03-31,69.84
2022-04-29,65.14
2022-05-31,65.36
2022-06-30,58.56
2022-07-29,60.70
2022-08-31,60.53
2022-09-30,53.06
2022-10-31,50.92
2022-11-30,59.72
2022-12-30,56.40
2023-01-31,62.31
2023-02-24,62.40
2023-03-31,63.80
2023-04-28,61.72
2023-05-31,66.12
2023-06-30,67.89
2023-07-31,68.88
2023-08-31,67.13
2023-09-28,65.51
2023-10-31,64.81
2023-11-30,70.10
2023-12-29,72.16
2024-01-31,73.37
2024-02-29,78.52
2024-03-29,86.19
2024-04-30,86.70
2024-05-31,91.19
2024-06-28,102.13
2024-07-31,99.49
2024-08-30,99.58
2024-09-30,101.23
2024-10-30,105.66
2024-11-29,102.76
2024-12-31,108.31
2025-01-22,112.40
2025-02-27,107.41
2025-03-31,96.35
2025-04-30,93.88
2025-05-29,100.10
2025-06-30,107.32
2025-07-31,115.46
2025-08-29,117.52
2025-09-30,129.06
2025-10-31,145.33
2025-11-28,140.10
2025-12-31,147.21
2026-01-30,164.81
2026-02-26,184.38
2026-03-31,164.86
2026-04-30,205.71
2026-05-29,236.60
2026-06-30,245.38
